,layer,pre,post,gaussian_pmax,gaussian_mu,exponential_pmax,exponential_mu,gaussian_fun,exponential_fun
0,4,exc,exc,0.1253999690833353,0.0001,0.16523184242169817,0.0001,157.9717625197672,161.4292411098662
1,4,exc,pvalb,0.3009188803332717,6.874205974050107e-05,0.5177241379310344,5.3220791696432494e-05,13.70190929221302,13.108127069780974
2,4,exc,sst,0.07133637835037696,4.0555738119766785e-05,0.0745919517501146,5.999068834299933e-05,3.9038659339218866,4.088079289717197
3,4,exc,vip,0.23974314689289447,1e-05,0.3303758073021071,1e-05,2.6602578850122827,2.8261986186307846
4,4,pvalb,exc,0.4900374644765195,7.491035004225464e-05,0.6679707809230185,7.231552212598511e-05,19.32426384699879,19.113880707447343
5,4,pvalb,pvalb,0.6024140442360978,9.20887580748563e-05,0.7583396434389692,0.0001,87.76256430058442,87.9571375556961
6,4,pvalb,sst,1.0,1e-05,1.0,1.0820387363299258e-05,1.3325864452251182,1.7740906113825987
7,4,pvalb,vip,0.19289085282177174,2.746993343555798e-05,0.2201730131667066,3.102739622407972e-05,11.355449362912035,11.935005191416769
8,4,sst,exc,0.43217524940397806,4.406036193983497e-05,0.5899667711008955,4.023352353376202e-05,11.609560066470781,11.562627901603932
9,4,sst,pvalb,0.3833351571285379,0.0001,0.5443393989008571,0.0001,13.074719301251204,12.878347294522044
10,4,sst,sst,0.015256227396767694,8.360416754719352e-05,0.019357521696302785,0.0001,5.513468126007256,5.62467391341566
11,4,sst,vip,0.38684399423028015,6.367241886922739e-05,0.4408410552978716,8.463201689632384e-05,17.173008561035328,18.167301524198507
12,4,vip,exc,0.001,1e-05,0.001,1e-05,0.0038762249883142223,0.002775342914491338
13,4,vip,pvalb,0.036062458493951434,4.522346010110447e-05,0.03375962130556227,8.252821878688491e-05,4.600250593488992,4.7955497729250505
14,4,vip,sst,0.17754157518519914,0.0001,0.24533518199898563,0.0001,15.92406820583356,15.671301093257846
15,4,vip,vip,0.0353167765694248,0.0001,0.04742076315887657,0.0001,18.307346057796252,18.873888065782886
