,pre_layer,post_layer,pre,post,pmax,sigma,rule,weight,synaptic_type
0,l6,l5,exc,cf,1.2,114,billeh,10,static_ExcToExc.json
1,l6,l5,exc,it,1.2,114,billeh,10,static_ExcToExc.json
2,l6,l5,exc,pv,1.0,92,billeh,10,static_ExcToInh.json
3,l6,l5,exc,sst,1.0,103,billeh,10,static_ExcToInh.json
4,l6,l5,exc,htr3a,1.0,103,billeh,10,static_ExcToInh.json
5,l6,l5,exc,vip,1.0,103,billeh,10,static_ExcToInh.json
6,l6,l23,pv,exc,10.0,95,billeh,10,static_InhToExc.json
7,l6,l4,pv,exc,10.0,95,billeh,10,static_InhToExc.json
8,l6,l5,pv,cf,10.0,95,billeh,10,static_InhToExc.json
9,l6,l5,pv,it,10.0,95,billeh,10,static_InhToExc.json
10,l6,l5,pv,pv,3.0,120,billeh,10,static_InhToInh.json
11,l6,l5,pv,sst,3.0,120,billeh,10,static_InhToInh.json
12,l6,l5,pv,htr3a,3.0,120,billeh,10,static_InhToInh.json
13,l6,l5,pv,vip,3.0,120,billeh,10,static_InhToInh.json
14,l6,l5,sst,cf,3.0,85,billeh,10,static_InhToExc.json
15,l6,l5,sst,it,3.0,85,billeh,10,static_InhToExc.json
16,l6,l5,sst,pv,3.0,120,billeh,10,static_InhToInh.json
17,l6,l5,sst,sst,3.0,120,billeh,10,static_InhToInh.json
18,l6,l5,sst,htr3a,3.0,120,billeh,10,static_InhToInh.json
19,l6,l5,sst,vip,3.0,120,billeh,10,static_InhToInh.json
20,l6,l5,htr3a,cf,3.0,85,billeh,10,static_InhToExc.json
21,l6,l5,htr3a,it,3.0,85,billeh,10,static_InhToExc.json
22,l6,l5,htr3a,pv,3.0,120,billeh,10,static_InhToInh.json
23,l6,l5,htr3a,sst,3.0,120,billeh,10,static_InhToInh.json
24,l6,l5,htr3a,htr3a,3.0,120,billeh,10,static_InhToInh.json
25,l6,l5,htr3a,vip,3.0,120,billeh,10,static_InhToInh.json
26,l6,l5,vip,cf,3.0,85,billeh,10,static_InhToExc.json
27,l6,l5,vip,it,3.0,85,billeh,10,static_InhToExc.json
28,l6,l5,vip,pv,3.0,120,billeh,10,static_InhToInh.json
29,l6,l5,vip,sst,3.0,120,billeh,10,static_InhToInh.json
30,l6,l5,vip,htr3a,3.0,120,billeh,10,static_InhToInh.json
31,l6,l5,vip,vip,3.0,120,billeh,10,static_InhToInh.json
