,layer,pre,post,pmax,sigma,rule,weight,synaptic_type
0,l23,exc,exc,7.97,66.18,gaussian,10,static_InhToInh.json
1,l23,exc,pvalb,55.45,74.39,gaussian,10,static_InhToInh.json
2,l23,exc,sst,51.61,100.0,exponential,10,static_InhToInh.json
3,l23,exc,vip,20.38,100.0,gaussian,10,static_InhToInh.json
4,l23,pvalb,exc,51.93,100.0,gaussian,10,static_InhToInh.json
5,l23,pvalb,pvalb,42.09,100.0,gaussian,10,static_InhToInh.json
6,l23,pvalb,sst,16.34,88.34,gaussian,10,static_InhToInh.json
7,l23,pvalb,vip,0.1,10.0,exponential,10,static_InhToInh.json
8,l23,sst,exc,31.79,75.96,gaussian,10,static_InhToInh.json
9,l23,sst,pvalb,28.2,83.8,gaussian,10,static_InhToInh.json
10,l23,sst,sst,7.04,100.0,gaussian,10,static_InhToInh.json
11,l23,sst,vip,37.14,91.0,gaussian,10,static_InhToInh.json
12,l23,vip,exc,5.43,100.0,gaussian,10,static_InhToInh.json
13,l23,vip,pvalb,7.21,24.91,gaussian,10,static_InhToInh.json
14,l23,vip,sst,23.47,73.97,exponential,10,static_InhToInh.json
15,l23,vip,vip,1.16,100.0,gaussian,10,static_InhToInh.json
16,l23,htr3a,exc,8.7,85.0,billeh,10,static_InhToExc.json
17,l23,htr3a,pvalb,2.0,120.0,billeh,10,static_InhToInh.json
18,l23,htr3a,sst,62.5,120.0,billeh,10,static_InhToInh.json
19,l23,htr3a,vip,2.8,120.0,billeh,10,static_InhToInh.json
20,l23,htr3a,htr3a,2.8,120.0,billeh,10,static_InhToInh.json
21,l23,exc,htr3a,10.5,103.0,billeh,10,static_ExcToInh.json
22,l23,pvalb,htr3a,22.0,120.0,billeh,10,static_InhToInh.json
23,l23,sst,htr3a,77.0,120.0,billeh,10,static_InhToInh.json
24,l23,vip,htr3a,2.8,120.0,billeh,10,static_InhToInh.json
